Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Year
,58,24,.707,—,115.0,109.5,5.06,Los Angeles Lakers*,1983
,53,29,.646,5.0,107.0,102.0,4.61,Phoenix Suns*,1983
,48,34,.585,10.0,110.0,106.8,2.88,Seattle SuperSonics*,1983
,46,36,.561,12.0,107.4,105.3,1.88,Portland Trail Blazers*,1983
,30,52,.366,28.0,108.6,112.3,-3.48,Golden State Warriors,1983
,25,57,.305,33.0,108.6,113.4,-4.61,San Diego Clippers,1983
Boston Celtics*,62,20,.756,—,112.1,105.6,6.42,,1984
Philadelphia 76ers*,52,30,.634,10.0,107.8,105.6,2.39,,1984
New York Knicks*,47,35,.573,15.0,106.9,103.0,3.79,,1984
New Jersey Nets*,45,37,.549,17.0,110.0,108.9,1.27,,1984
Washington Bullets*,35,47,.427,27.0,102.7,105.6,-2.36,,1984
Milwaukee Bucks*,50,32,.610,—,105.7,101.5,4.04,,1984
Detroit Pistons*,49,33,.598,1.0,117.1,113.5,3.52,,1984
Atlanta Hawks*,40,42,.488,10.0,101.5,102.8,-1.08,,1984
Cleveland Cavaliers,28,54,.341,22.0,102.3,106.5,-3.71,,1984
Chicago Bulls,27,55,.329,23.0,103.7,108.9,-4.69,,1984
Indiana Pacers,26,56,.317,24.0,104.5,109.3,-4.25,,1984
,45,37,.549,—,115.0,113.8,0.81,Utah Jazz*,1984
,43,39,.524,2.0,110.4,110.0,0.15,Dallas Mavericks*,1984
,38,44,.463,7.0,123.7,124.8,-1.27,Denver Nuggets*,1984
,38,44,.463,7.0,110.0,111.5,-1.62,Kansas City Kings*,1984
,37,45,.451,8.0,120.3,120.5,-0.50,San Antonio Spurs,1984
,29,53,.354,16.0,110.6,113.7,-3.12,Houston Rockets,1984
,54,28,.659,—,115.6,111.8,3.32,Los Angeles Lakers*,1984
,48,34,.585,6.0,113.1,109.6,3.13,Portland Trail Blazers*,1984
,42,40,.512,12.0,108.1,108.3,-0.34,Seattle SuperSonics*,1984
,41,41,.500,13.0,111.0,110.1,0.65,Phoenix Suns*,1984
,37,45,.451,17.0,109.9,113.3,-3.35,Golden State Warriors,1984
,30,52,.366,24.0,110.7,114.0,-3.21,San Diego Clippers,1984
Boston Celtics*,63,19,.768,—,114.8,108.1,6.47,,1985
Philadelphia 76ers*,58,24,.707,5.0,112.9,108.8,4.17,,1985
New Jersey Nets*,42,40,.512,21.0,109.5,109.2,0.64,,1985
Washington Bullets*,40,42,.488,23.0,105.5,105.8,0.15,,1985
New York Knicks,24,58,.293,39.0,105.2,109.8,-4.09,,1985
Milwaukee Bucks*,59,23,.720,—,110.9,104.0,6.69,,1985
Detroit Pistons*,46,36,.561,13.0,116.0,113.5,2.73,,1985
Chicago Bulls*,38,44,.463,21.0,108.7,109.6,-0.50,,1985
Cleveland Cavaliers*,36,46,.439,23.0,108.6,111.3,-2.27,,1985
Atlanta Hawks,34,48,.415,25.0,106.6,108.1,-1.14,,1985
Indiana Pacers,22,60,.268,37.0,108.3,114.5,-5.46,,1985
,52,30,.634,—,120.0,117.6,2.05,Denver Nuggets*,1985
,48,34,.585,4.0,111.2,109.5,1.38,Houston Rockets*,1985
,44,38,.537,8.0,111.2,109.0,1.80,Dallas Mavericks*,1985
,41,41,.500,11.0,109.0,109.1,-0.33,Utah Jazz*,1985
,41,41,.500,11.0,114.8,113.9,0.63,San Antonio Spurs*,1985
,31,51,.378,21.0,114.8,117.5,-2.71,Kansas City Kings,1985
,62,20,.756,—,118.2,110.9,6.48,Los Angeles Lakers*,1985
,42,40,.512,20.0,115.5,112.1,2.80,Portland Trail Blazers*,1985
,36,46,.439,26.0,108.0,110.1,-2.34,Phoenix Suns*,1985
,31,51,.378,31.0,102.1,107.6,-5.44,Seattle SuperSonics,1985
,31,51,.378,31.0,107.1,111.6,-4.55,Los Angeles Clippers,1985
,22,60,.268,40.0,110.4,117.7,-7.21,Golden State Warriors,1985
Boston Celtics*,67,15,.817,—,114.1,104.7,9.06,,1986
Philadelphia 76ers*,54,28,.659,13.0,110.4,108.0,2.46,,1986
Washington Bullets*,39,43,.476,28.0,103.0,104.8,-1.28,,1986
New Jersey Nets*,39,43,.476,28.0,109.1,111.1,-1.39,,1986
