Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Year
Boston Celtics*,35,47,.427,22.0,102.8,104.7,-1.92,,1995
Miami Heat,32,50,.390,25.0,101.1,102.8,-1.85,,1995
New Jersey Nets,30,52,.366,27.0,98.1,101.2,-3.28,,1995
Philadelphia 76ers,24,58,.293,33.0,95.4,100.4,-5.06,,1995
Washington Bullets,21,61,.256,36.0,100.5,106.1,-5.56,,1995
Indiana Pacers*,52,30,.634,—,99.2,95.5,3.35,,1995
Charlotte Hornets*,50,32,.610,2.0,100.6,97.3,2.87,,1995
Chicago Bulls*,47,35,.573,5.0,101.5,96.7,4.32,,1995
Cleveland Cavaliers*,43,39,.524,9.0,90.5,89.8,0.55,,1995
Atlanta Hawks*,42,40,.512,10.0,96.6,95.3,1.06,,1995
Milwaukee Bucks,34,48,.415,18.0,99.3,103.7,-4.30,,1995
Detroit Pistons,28,54,.341,24.0,98.2,105.5,-7.08,,1995
,62,20,.756,—,106.6,100.6,5.90,San Antonio Spurs*,1995
,60,22,.732,2.0,106.4,98.4,7.76,Utah Jazz*,1995
,47,35,.573,15.0,103.5,101.4,2.32,Houston Rockets*,1995
,41,41,.500,21.0,101.3,100.5,0.96,Denver Nuggets*,1995
,36,46,.439,26.0,103.2,106.1,-2.39,Dallas Mavericks,1995
,21,61,.256,41.0,94.2,103.2,-8.22,Minnesota Timberwolves,1995
,59,23,.720,—,110.6,106.8,3.86,Phoenix Suns*,1995
,57,25,.695,2.0,110.4,102.2,7.91,Seattle SuperSonics*,1995
,48,34,.585,11.0,105.1,105.3,-0.01,Los Angeles Lakers*,1995
,44,38,.537,15.0,103.1,99.2,3.80,Portland Trail Blazers*,1995
,39,43,.476,20.0,98.2,99.2,-0.74,Sacramento Kings,1995
,26,56,.317,33.0,105.7,111.1,-4.90,Golden State Warriors,1995
,17,65,.207,42.0,96.7,105.8,-8.43,Los Angeles Clippers,1995
Orlando Magic*,60,22,.732,—,104.5,99.0,5.40,,1996
New York Knicks*,47,35,.573,13.0,97.2,94.9,2.24,,1996
Miami Heat*,42,40,.512,18.0,96.5,95.0,1.46,,1996
Washington Bullets,39,43,.476,21.0,102.5,101.5,0.99,,1996
Boston Celtics,33,49,.402,27.0,103.6,107.0,-3.37,,1996
New Jersey Nets,30,52,.366,30.0,93.7,97.9,-4.14,,1996
Philadelphia 76ers,18,64,.220,42.0,94.5,104.5,-9.45,,1996
Chicago Bulls*,72,10,.878,—,105.2,92.9,11.80,,1996
Indiana Pacers*,52,30,.634,20.0,99.3,96.1,3.11,,1996
Cleveland Cavaliers*,47,35,.573,25.0,91.1,88.5,2.49,,1996
Atlanta Hawks*,46,36,.561,26.0,98.3,97.1,1.29,,1996
Detroit Pistons*,46,36,.561,26.0,95.4,92.9,2.45,,1996
Charlotte Hornets,41,41,.500,31.0,102.8,103.4,-0.48,,1996
Milwaukee Bucks,25,57,.305,47.0,95.6,100.9,-4.92,,1996
Toronto Raptors,21,61,.256,51.0,97.5,105.0,-7.20,,1996
,59,23,.720,—,103.4,97.1,5.98,San Antonio Spurs*,1996
,55,27,.671,4.0,102.5,95.9,6.25,Utah Jazz*,1996
,48,34,.585,11.0,102.5,100.7,1.63,Houston Rockets*,1996
,35,47,.427,24.0,97.7,100.4,-2.62,Denver Nuggets,1996
,26,56,.317,33.0,97.9,103.2,-5.14,Minnesota Timberwolves,1996
,26,56,.317,33.0,102.5,107.5,-4.71,Dallas Mavericks,1996
,15,67,.183,44.0,89.8,99.8,-9.55,Vancouver Grizzlies,1996
,64,18,.780,—,104.5,96.7,7.40,Seattle SuperSonics*,1996
,53,29,.646,11.0,102.9,98.5,4.21,Los Angeles Lakers*,1996
,44,38,.537,20.0,99.3,97.0,2.21,Portland Trail Blazers*,1996
,41,41,.500,23.0,104.3,104.0,0.28,Phoenix Suns*,1996
,39,43,.476,25.0,99.5,102.3,-2.62,Sacramento Kings*,1996
,36,46,.439,28.0,101.6,103.1,-1.42,Golden State Warriors,1996
,29,53,.354,35.0,99.4,103.0,-3.46,Los Angeles Clippers,1996
Miami Heat*,61,21,.744,—,94.8,89.3,5.56,,1997
New York Knicks*,57,25,.695,4.0,95.4,92.2,3.31,,1997
Orlando Magic*,45,37,.549,16.0,94.1,94.5,-0.07,,1997
Washington Bullets*,44,38,.537,17.0,99.4,97.7,1.77,,1997
New Jersey Nets,26,56,.317,35.0,97.2,101.8,-3.89,,1997
Philadelphia 76ers,22,60,.268,39.0,100.2,106.7,-5.89,,1997
Boston Celtics,15,67,.183,46.0,100.6,107.9,-6.62,,1997
Chicago Bulls*,69,13,.841,—,103.1,92.3,10.70,,1997
Atlanta Hawks*,56,26,.683,13.0,94.8,89.4,5.52,,1997
Detroit Pistons*,54,28,.659,15.0,94.2,88.9,5.45,,1997
Charlotte Hornets*,54,28,.659,15.0,98.9,97.0,2.13,,1997
Cleveland Cavaliers,42,40,.512,27.0,87.5,85.6,2.32,,1997
Indiana Pacers,39,43,.476,30.0,95.4,94.4,1.49,,1997
Milwaukee Bucks,33,49,.402,36.0,95.3,97.2,-1.38,,1997
Toronto Raptors,30,52,.366,39.0,95.5,98.6,-2.56,,1997
,64,18,.780,—,103.1,94.3,7.97,Utah Jazz*,1997
,57,25,.695,7.0,100.6,96.1,3.85,Houston Rockets*,1997
,40,42,.488,24.0,96.1,97.6,-1.82,Minnesota Timberwolves*,1997
,24,58,.293,40.0,90.6,97.0,-6.47,Dallas Mavericks,1997
,21,61,.256,43.0,97.8,104.1,-6.40,Denver Nuggets,1997
,20,62,.244,44.0,90.5,98.3,-7.93,San Antonio Spurs,1997
,14,68,.171,50.0,89.2,99.4,-10.17,Vancouver Grizzlies,1997
,57,25,.695,—,100.9,93.2,6.91,Seattle SuperSonics*,1997
,56,26,.683,1.0,100.0,95.7,3.66,Los Angeles Lakers*,1997
,49,33,.598,8.0,99.0,94.8,3.56,Portland Trail Blazers*,1997
,40,42,.488,17.0,102.8,102.2,0.21,Phoenix Suns*,1997
,36,46,.439,21.0,97.2,99.5,-2.66,Los Angeles Clippers*,1997
,34,48,.415,23.0,96.4,99.8,-3.64,Sacramento Kings,1997
,30,52,.366,27.0,99.6,104.4,-4.90,Golden State Warriors,1997
Miami Heat*,55,27,.671,—,95.0,90.0,5.09,,1998
New York Knicks*,43,39,.524,12.0,91.6,89.1,2.74,,1998
New Jersey Nets*,43,39,.524,12.0,99.6,98.1,1.88,,1998
Washington Wizards,42,40,.512,13.0,97.2,96.6,1.11,,1998
Orlando Magic,41,41,.500,14.0,90.1,91.2,-0.53,,1998
Boston Celtics,36,46,.439,19.0,95.9,98.5,-1.96,,1998
Philadelphia 76ers,31,51,.378,24.0,93.3,95.7,-1.89,,1998
Chicago Bulls*,62,20,.756,—,96.7,89.6,7.24,,1998
Indiana Pacers*,58,24,.707,4.0,96.0,89.9,6.25,,1998
Charlotte Hornets*,51,31,.622,11.0,96.6,94.6,2.45,,1998
Atlanta Hawks*,50,32,.610,12.0,95.9,92.3,3.85,,1998
Cleveland Cavaliers*,47,35,.573,15.0,92.5,89.8,3.06,,1998
Detroit Pistons,37,45,.451,25.0,94.2,92.6,1.95,,1998
Milwaukee Bucks,36,46,.439,26.0,94.5,96.4,-1.33,,1998
Toronto Raptors,16,66,.195,46.0,94.9,104.2,-8.33,,1998
,62,20,.756,—,101.0,94.4,5.73,Utah Jazz*,1998
,56,26,.683,6.0,92.5,88.5,3.30,San Antonio Spurs*,1998
,45,37,.549,17.0,101.1,100.4,0.17,Minnesota Timberwolves*,1998
,41,41,.500,21.0,98.8,99.5,-1.23,Houston Rockets*,1998
,20,62,.244,42.0,91.4,97.5,-6.33,Dallas Mavericks,1998
,19,63,.232,43.0,96.6,103.9,-7.47,Vancouver Grizzlies,1998
,11,71,.134,51.0,89.0,100.8,-11.74,Denver Nuggets,1998
,61,21,.744,—,100.6,93.4,6.33,Seattle SuperSonics*,1998
,61,21,.744,—,105.5,97.8,6.88,Los Angeles Lakers*,1998
,56,26,.683,5.0,99.6,94.4,4.44,Phoenix Suns*,1998
,46,36,.561,15.0,94.3,92.9,0.83,Portland Trail Blazers*,1998
,27,55,.329,34.0,93.1,98.7,-5.83,Sacramento Kings,1998
,19,63,.232,42.0,88.3,97.4,-9.20,Golden State Warriors,1998
,17,65,.207,44.0,95.9,103.3,-7.53,Los Angeles Clippers,1998
Miami Heat*,33,17,.660,—,89.0,84.0,5.11,,1999
Orlando Magic*,33,17,.660,—,89.5,86.9,3.11,,1999
Philadelphia 76ers*,28,22,.560,5.0,89.7,87.6,2.56,,1999
New York Knicks*,27,23,.540,6.0,86.4,85.4,1.45,,1999
Boston Celtics,19,31,.380,14.0,93.0,94.9,-1.75,,1999
Washington Wizards,18,32,.360,15.0,91.2,93.4,-1.75,,1999
New Jersey Nets,16,34,.320,17.0,91.4,95.2,-3.20,,1999
Indiana Pacers*,33,17,.660,—,94.7,90.9,3.86,,1999
Atlanta Hawks*,31,19,.620,2.0,86.3,83.4,2.82,,1999
Detroit Pistons*,29,21,.580,4.0,90.4,86.9,3.97,,1999
Milwaukee Bucks*,28,22,.560,5.0,91.7,90.0,1.66,,1999
Charlotte Hornets,26,24,.520,7.0,92.9,93.0,0.63,,1999
Toronto Raptors,23,27,.460,10.0,91.1,92.8,-1.32,,1999
Cleveland Cavaliers,22,28,.440,11.0,86.4,88.2,-0.94,,1999
Chicago Bulls,13,37,.260,20.0,81.9,91.4,-8.58,,1999
,37,13,.740,—,92.8,84.7,7.12,San Antonio Spurs*,1999
,37,13,.740,—,93.3,86.8,5.54,Utah Jazz*,1999
,31,19,.620,6.0,94.2,91.9,1.39,Houston Rockets*,1999
,25,25,.500,12.0,92.9,92.6,-0.17,Minnesota Timberwolves*,1999
,19,31,.380,18.0,91.6,94.0,-2.50,Dallas Mavericks,1999
,14,36,.280,23.0,93.5,100.1,-6.67,Denver Nuggets,1999
,8,42,.160,29.0,88.9,97.5,-8.94,Vancouver Grizzlies,1999
,35,15,.700,—,94.8,88.5,5.67,Portland Trail Blazers*,1999
,31,19,.620,4.0,99.0,96.0,2.68,Los Angeles Lakers*,1999
,27,23,.540,8.0,95.6,93.3,2.15,Phoenix Suns*,1999
,27,23,.540,8.0,100.2,100.6,-0.89,Sacramento Kings*,1999
,25,25,.500,10.0,94.9,95.9,-1.43,Seattle SuperSonics,1999
,21,29,.420,14.0,88.3,90.8,-2.63,Golden State Warriors,1999
,9,41,.180,26.0,90.4,99.2,-8.94,Los Angeles Clippers,1999
Miami Heat*,52,30,.634,—,94.4,91.3,2.75,,2000
New York Knicks*,50,32,.610,2.0,92.1,90.7,1.30,,2000
Philadelphia 76ers*,49,33,.598,3.0,94.8,93.4,1.02,,2000
Orlando Magic,41,41,.500,11.0,100.1,99.4,0.43,,2000
Boston Celtics,35,47,.427,17.0,99.3,100.1,-1.00,,2000
New Jersey Nets,31,51,.378,21.0,98.0,99.0,-1.18,,2000
Washington Wizards,29,53,.354,23.0,96.6,99.9,-3.47,,2000
Indiana Pacers*,56,26,.683,—,101.3,96.7,4.15,,2000
Charlotte Hornets*,49,33,.598,7.0,98.4,95.8,2.33,,2000
Toronto Raptors*,45,37,.549,11.0,97.2,97.3,-0.46,,2000
Detroit Pistons*,42,40,.512,14.0,103.5,102.0,1.13,,2000
Milwaukee Bucks*,42,40,.512,14.0,101.2,101.0,-0.06,,2000
Cleveland Cavaliers,32,50,.390,24.0,97.0,100.5,-3.64,,2000
Atlanta Hawks,28,54,.341,28.0,94.3,99.7,-5.41,,2000
Chicago Bulls,17,65,.207,39.0,84.8,94.2,-9.23,,2000
,55,27,.671,—,96.5,92.0,4.52,Utah Jazz*,2000
,53,29,.646,2.0,96.2,90.2,5.92,San Antonio Spurs*,2000
,50,32,.610,5.0,98.5,96.0,2.67,Minnesota Timberwolves*,2000
,40,42,.488,15.0,101.4,102.0,-0.29,Dallas Mavericks,2000
,35,47,.427,20.0,99.0,101.1,-1.76,Denver Nuggets,2000
,34,48,.415,21.0,99.5,100.3,-0.57,Houston Rockets,2000
,22,60,.268,33.0,93.9,99.5,-5.10,Vancouver Grizzlies,2000
,67,15,.817,—,100.8,92.3,8.41,Los Angeles Lakers*,2000
,59,23,.720,8.0,97.5,91.0,6.36,Portland Trail Blazers*,2000
,53,29,.646,14.0,98.9,93.7,5.24,Phoenix Suns*,2000
,45,37,.549,22.0,99.1,98.1,1.17,Seattle SuperSonics*,2000
,44,38,.537,23.0,105.0,102.0,3.04,Sacramento Kings*,2000
,19,63,.232,48.0,95.5,103.8,-7.63,Golden State Warriors,2000
,15,67,.183,52.0,92.0,103.5,-10.73,Los Angeles Clippers,2000
Philadelphia 76ers*,56,26,.683,—,94.7,90.4,3.64,,2001
Miami Heat*,50,32,.610,6.0,88.9,86.6,1.73,,2001
New York Knicks*,48,34,.585,8.0,88.7,86.1,1.98,,2001
Orlando Magic*,43,39,.524,13.0,97.5,96.5,0.39,,2001
Boston Celtics,36,46,.439,20.0,94.6,96.8,-2.40,,2001
New Jersey Nets,26,56,.317,30.0,92.1,97.1,-5.30,,2001
Washington Wizards,19,63,.232,37.0,93.2,99.9,-6.75,,2001
Milwaukee Bucks*,52,30,.634,—,100.7,96.9,3.14,,2001
Toronto Raptors*,47,35,.573,5.0,97.6,95.4,1.69,,2001
Charlotte Hornets*,46,36,.561,6.0,91.9,89.8,1.45,,2001
Indiana Pacers*,41,41,.500,11.0,92.6,92.8,-0.77,,2001
Detroit Pistons,32,50,.390,20.0,95.6,97.3,-2.08,,2001
Cleveland Cavaliers,30,52,.366,22.0,92.2,96.5,-4.48,,2001
Atlanta Hawks,25,57,.305,27.0,91.0,96.2,-5.55,,2001
Chicago Bulls,15,67,.183,37.0,87.6,96.7,-9.09,,2001
,58,24,.707,—,96.2,88.4,7.92,San Antonio Spurs*,2001
,53,29,.646,5.0,97.1,92.4,5.00,Utah Jazz*,2001
,53,29,.646,5.0,100.5,96.2,4.61,Dallas Mavericks*,2001
,47,35,.573,11.0,97.3,96.0,1.81,Minnesota Timberwolves*,2001
,45,37,.549,13.0,97.2,94.9,2.71,Houston Rockets,2001
,40,42,.488,18.0,96.6,99.0,-1.83,Denver Nuggets,2001
,23,59,.280,35.0,91.7,97.5,-4.94,Vancouver Grizzlies,2001
,56,26,.683,—,100.6,97.2,3.74,Los Angeles Lakers*,2001
,55,27,.671,1.0,101.7,95.9,6.07,Sacramento Kings*,2001
,51,31,.622,5.0,94.0,91.8,2.63,Phoenix Suns*,2001
,50,32,.610,6.0,95.4,91.2,4.52,Portland Trail Blazers*,2001
,44,38,.537,12.0,97.3,97.3,0.55,Seattle SuperSonics,2001
,31,51,.378,25.0,92.5,95.3,-2.23,Los Angeles Clippers,2001
,17,65,.207,39.0,92.5,101.5,-8.11,Golden State Warriors,2001
New Jersey Nets*,52,30,.634,—,96.2,92.0,3.67,,2002
Boston Celtics*,49,33,.598,3.0,96.4,94.1,1.75,,2002
Orlando Magic*,44,38,.537,8.0,100.5,98.9,1.25,,2002
Philadelphia 76ers*,43,39,.524,9.0,91.0,89.4,1.27,,2002
Washington Wizards,37,45,.451,15.0,92.8,94.2,-1.58,,2002
Miami Heat,36,46,.439,16.0,87.2,88.7,-1.84,,2002
New York Knicks,30,52,.366,22.0,91.6,95.6,-4.15,,2002
Detroit Pistons*,50,32,.610,—,94.3,92.2,1.69,,2002
Charlotte Hornets*,44,38,.537,6.0,93.9,92.9,0.57,,2002
Toronto Raptors*,42,40,.512,8.0,91.4,91.8,-0.71,,2002
Indiana Pacers*,42,40,.512,8.0,96.8,96.5,-0.07,,2002
Milwaukee Bucks,41,41,.500,9.0,97.5,97.7,-0.62,,2002
Atlanta Hawks,33,49,.402,17.0,94.0,98.3,-4.41,,2002
Cleveland Cavaliers,29,53,.354,21.0,95.3,98.6,-3.52,,2002
Chicago Bulls,21,61,.256,29.0,89.5,98.0,-8.52,,2002
,58,24,.707,—,96.7,90.5,6.28,San Antonio Spurs*,2002
,57,25,.695,1.0,105.2,101.0,4.41,Dallas Mavericks*,2002
,50,32,.610,8.0,99.3,96.0,3.58,Minnesota Timberwolves*,2002
,44,38,.537,14.0,96.0,95.1,1.21,Utah Jazz*,2002
,28,54,.341,30.0,92.3,97.2,-4.31,Houston Rockets,2002
,27,55,.329,31.0,92.2,98.0,-5.19,Denver Nuggets,2002
,23,59,.280,35.0,89.9,97.3,-6.74,Memphis Grizzlies,2002
,61,21,.744,—,104.6,97.0,7.61,Sacramento Kings*,2002
,58,24,.707,3.0,101.3,94.1,7.15,Los Angeles Lakers*,2002
,49,33,.598,12.0,96.6,93.7,3.21,Portland Trail Blazers*,2002
,45,37,.549,16.0,97.7,94.7,3.24,Seattle SuperSonics*,2002
,39,43,.476,22.0,95.7,96.1,-0.09,Los Angeles Clippers,2002
,36,46,.439,25.0,95.1,95.8,-0.30,Phoenix Suns,2002
,21,61,.256,40.0,97.7,103.1,-4.80,Golden State Warriors,2002
New Jersey Nets*,49,33,.598,—,95.4,90.1,4.42,,2003
Philadelphia 76ers*,48,34,.585,1.0,96.8,94.5,1.76,,2003
Boston Celtics*,44,38,.537,5.0,92.7,93.1,-0.75,,2003
Orlando Magic*,42,40,.512,7.0,98.5,98.4,-0.39,,2003
Washington Wizards,37,45,.451,12.0,91.5,92.5,-1.47,,2003
New York Knicks,37,45,.451,12.0,95.9,97.2,-1.61,,2003
Miami Heat,25,57,.305,24.0,85.6,90.6,-5.13,,2003
Detroit Pistons*,50,32,.610,—,91.4,87.7,2.97,,2003
Indiana Pacers*,48,34,.585,2.0,96.8,93.3,2.79,,2003
New Orleans Hornets*,47,35,.573,3.0,93.9,91.8,1.52,,2003
Milwaukee Bucks*,42,40,.512,8.0,99.5,99.3,-0.24,,2003
Atlanta Hawks,35,47,.427,15.0,94.1,97.6,-3.87,,2003
Chicago Bulls,30,52,.366,20.0,95.0,100.1,-5.31,,2003
Toronto Raptors,24,58,.293,26.0,90.9,96.8,-6.10,,2003
Cleveland Cavaliers,17,65,.207,33.0,91.4,101.0,-9.59,,2003
,60,22,.732,—,95.8,90.4,5.65,San Antonio Spurs*,2003
,60,22,.732,—,103.0,95.2,7.90,Dallas Mavericks*,2003
,51,31,.622,9.0,98.1,96.0,2.46,Minnesota Timberwolves*,2003
,47,35,.573,13.0,94.7,92.3,2.76,Utah Jazz*,2003
,43,39,.524,17.0,93.8,92.3,1.89,Houston Rockets,2003
,28,54,.341,32.0,97.5,100.7,-2.60,Memphis Grizzlies,2003
,17,65,.207,43.0,84.2,92.4,-7.41,Denver Nuggets,2003
,59,23,.720,—,101.7,95.2,6.68,Sacramento Kings*,2003
,50,32,.610,9.0,100.4,98.0,2.71,Los Angeles Lakers*,2003
,50,32,.610,9.0,95.2,92.5,2.97,Portland Trail Blazers*,2003
,44,38,.537,15.0,95.5,94.4,1.57,Phoenix Suns*,2003
,40,42,.488,19.0,92.1,92.3,0.37,Seattle SuperSonics,2003
,38,44,.463,21.0,102.4,103.6,-0.60,Golden State Warriors,2003
,27,55,.329,32.0,93.8,97.9,-3.45,Los Angeles Clippers,2003
New Jersey Nets*,47,35,.573,—,90.3,87.8,1.88,,2004
Miami Heat*,42,40,.512,5.0,90.3,89.7,-0.13,,2004
New York Knicks*,39,43,.476,8.0,92.0,93.5,-1.97,,2004
Boston Celtics*,36,46,.439,11.0,95.3,96.7,-1.99,,2004
Philadelphia 76ers,33,49,.402,14.0,88.0,90.5,-2.95,,2004
Washington Wizards,25,57,.305,22.0,91.8,97.4,-6.12,,2004
Orlando Magic,21,61,.256,26.0,94.0,101.1,-7.25,,2004
Indiana Pacers*,61,21,.744,—,91.4,85.6,4.93,,2004
Detroit Pistons*,54,28,.659,7.0,90.1,84.3,5.04,,2004
New Orleans Hornets*,41,41,.500,20.0,91.8,91.9,-0.72,,2004
Milwaukee Bucks*,41,41,.500,20.0,98.0,97.0,0.42,,2004
Cleveland Cavaliers,35,47,.427,26.0,92.9,95.5,-3.07,,2004
Toronto Raptors,33,49,.402,28.0,85.4,88.5,-3.42,,2004
Atlanta Hawks,28,54,.341,33.0,92.8,97.5,-5.00,,2004
Chicago Bulls,23,59,.280,38.0,89.7,96.0,-6.69,,2004
,58,24,.707,—,94.5,89.1,5.86,Minnesota Timberwolves*,2004
,57,25,.695,1.0,91.5,84.3,7.51,San Antonio Spurs*,2004
,52,30,.634,6.0,105.2,100.8,4.86,Dallas Mavericks*,2004
,50,32,.610,8.0,96.7,94.3,2.95,Memphis Grizzlies*,2004
,45,37,.549,13.0,89.8,88.0,2.28,Houston Rockets*,2004
,43,39,.524,15.0,97.2,96.1,1.65,Denver Nuggets*,2004
,42,40,.512,16.0,88.7,89.9,-0.53,Utah Jazz,2004
,56,26,.683,—,98.2,94.3,4.35,Los Angeles Lakers*,2004
,55,27,.671,1.0,102.8,97.8,5.41,Sacramento Kings*,2004
,41,41,.500,15.0,90.7,92.0,-0.58,Portland Trail Blazers,2004
,37,45,.451,19.0,93.3,94.0,-0.07,Golden State Warriors,2004
,37,45,.451,19.0,97.1,97.8,0.02,Seattle SuperSonics,2004
,29,53,.354,27.0,94.2,97.9,-2.94,Phoenix Suns,2004
,28,54,.341,28.0,94.8,99.4,-3.74,Los Angeles Clippers,2004
Boston Celtics*,45,37,.549,—,101.3,100.4,0.35,,2005
Philadelphia 76ers*,43,39,.524,2.0,99.1,99.9,-1.07,,2005
New Jersey Nets*,42,40,.512,3.0,91.4,92.9,-1.82,,2005
Toronto Raptors,33,49,.402,12.0,99.7,101.4,-1.81,,2005
New York Knicks,33,49,.402,12.0,97.3,99.7,-2.72,,2005
Detroit Pistons*,54,28,.659,—,93.3,89.5,3.31,,2005
Chicago Bulls*,47,35,.573,7.0,94.5,93.4,0.65,,2005
Indiana Pacers*,44,38,.537,10.0,93.0,92.2,0.49,,2005
Cleveland Cavaliers,42,40,.512,12.0,96.5,95.7,0.27,,2005
Milwaukee Bucks,30,52,.366,24.0,97.2,100.2,-3.09,,2005
Miami Heat*,59,23,.720,—,101.5,95.0,5.77,,2005
Washington Wizards*,45,37,.549,14.0,100.5,100.8,-0.71,,2005
Orlando Magic,36,46,.439,23.0,99.5,101.8,-2.52,,2005
Charlotte Bobcats,18,64,.220,41.0,94.3,100.2,-6.15,,2005
Atlanta Hawks,13,69,.159,46.0,92.7,102.5,-9.62,,2005
,52,30,.634,—,98.9,96.6,2.59,Seattle SuperSonics*,2005
,49,33,.598,3.0,99.5,97.5,2.23,Denver Nuggets*,2005
,44,38,.537,8.0,96.8,95.3,1.73,Minnesota Timberwolves,2005
,27,55,.329,25.0,92.9,96.9,-3.45,Portland Trail Blazers,2005
,26,56,.317,26.0,93.0,97.3,-3.74,Utah Jazz,2005
,62,20,.756,—,110.4,103.3,7.08,Phoenix Suns*,2005
,50,32,.610,12.0,103.7,101.6,2.56,Sacramento Kings*,2005
,37,45,.451,25.0,95.7,96.5,-0.47,Los Angeles Clippers,2005
,34,48,.415,28.0,98.7,101.7,-2.32,Los Angeles Lakers,2005
,34,48,.415,28.0,98.7,100.9,-1.74,Golden State Warriors,2005
,59,23,.720,—,96.2,88.4,7.84,San Antonio Spurs*,2005
,58,24,.707,1.0,102.5,96.8,5.86,Dallas Mavericks*,2005
,51,31,.622,8.0,95.1,91.0,4.27,Houston Rockets*,2005
,45,37,.549,14.0,93.4,91.1,2.64,Memphis Grizzlies*,2005
,18,64,.220,41.0,88.4,95.5,-6.30,New Orleans Hornets,2005
New Jersey Nets*,49,33,.598,—,93.8,92.4,1.11,,2006
Philadelphia 76ers,38,44,.463,11.0,99.4,101.3,-2.10,,2006
Boston Celtics,33,49,.402,16.0,98.0,99.5,-1.59,,2006
Toronto Raptors,27,55,.329,22.0,101.1,104.0,-3.03,,2006
New York Knicks,23,59,.280,26.0,95.6,102.0,-6.30,,2006
Detroit Pistons*,64,18,.780,—,96.8,90.2,6.24,,2006
Cleveland Cavaliers*,50,32,.610,14.0,97.6,95.4,2.17,,2006
Indiana Pacers*,41,41,.500,23.0,93.9,92.0,1.62,,2006
Chicago Bulls*,41,41,.500,23.0,97.8,97.2,0.51,,2006
Milwaukee Bucks*,40,42,.488,24.0,97.8,98.8,-1.07,,2006
Miami Heat*,52,30,.634,—,99.9,96.0,3.59,,2006
Washington Wizards*,42,40,.512,10.0,101.7,99.8,1.57,,2006
Orlando Magic,36,46,.439,16.0,94.9,96.0,-1.26,,2006
Charlotte Bobcats,26,56,.317,26.0,96.9,100.9,-3.90,,2006
Atlanta Hawks,26,56,.317,26.0,97.2,102.0,-4.69,,2006
,44,38,.537,—,100.3,100.1,0.36,Denver Nuggets*,2006
,41,41,.500,3.0,92.4,95.0,-2.49,Utah Jazz,2006
,35,47,.427,9.0,102.6,105.6,-2.88,Seattle SuperSonics,2006
,33,49,.402,11.0,91.7,93.6,-1.75,Minnesota Timberwolves,2006
,21,61,.256,23.0,88.8,98.3,-8.91,Portland Trail Blazers,2006
,54,28,.659,—,108.4,102.8,5.48,Phoenix Suns*,2006
,47,35,.573,7.0,97.2,95.6,1.75,Los Angeles Clippers*,2006
,45,37,.549,9.0,99.4,96.9,2.53,Los Angeles Lakers*,2006
,44,38,.537,10.0,98.9,97.3,1.61,Sacramento Kings*,2006
,34,48,.415,20.0,98.5,99.8,-1.11,Golden State Warriors,2006
,63,19,.768,—,95.6,88.8,6.69,San Antonio Spurs*,2006
,60,22,.732,3.0,99.1,93.1,5.96,Dallas Mavericks*,2006
,49,33,.598,14.0,92.2,88.5,3.74,Memphis Grizzlies*,2006
,38,44,.463,25.0,92.8,95.6,-2.51,New Orleans/Oklahoma City Hornets,2006
,34,48,.415,29.0,90.1,91.7,-1.30,Houston Rockets,2006
Toronto Raptors*,47,35,.573,—,99.5,98.5,0.61,,2007
New Jersey Nets*,41,41,.500,6.0,97.6,98.3,-1.00,,2007
Philadelphia 76ers,35,47,.427,12.0,94.9,98.0,-3.26,,2007
New York Knicks,33,49,.402,14.0,97.5,100.3,-3.06,,2007
Boston Celtics,24,58,.293,23.0,95.8,99.2,-3.70,,2007
Detroit Pistons*,53,29,.646,—,96.0,91.8,3.69,,2007
Cleveland Cavaliers*,50,32,.610,3.0,96.8,92.9,3.33,,2007
Chicago Bulls*,49,33,.598,4.0,98.8,93.8,4.52,,2007
Indiana Pacers,35,47,.427,18.0,95.6,98.0,-2.62,,2007
Milwaukee Bucks,28,54,.341,25.0,99.7,104.0,-4.43,,2007
Miami Heat*,44,38,.537,—,94.6,95.5,-1.21,,2007
Washington Wizards*,41,41,.500,3.0,104.3,104.9,-0.80,,2007
Orlando Magic*,40,42,.488,4.0,94.8,94.0,0.35,,2007
Charlotte Bobcats,33,49,.402,11.0,96.9,100.6,-3.97,,2007
Atlanta Hawks,30,52,.366,14.0,93.7,98.4,-4.86,,2007
,51,31,.622,—,101.5,98.6,3.06,Utah Jazz*,2007
,45,37,.549,6.0,105.4,103.7,1.69,Denver Nuggets*,2007
,32,50,.390,19.0,94.1,98.4,-3.78,Portland Trail Blazers,2007
,32,50,.390,19.0,96.1,99.7,-3.16,Minnesota Timberwolves,2007
,31,51,.378,20.0,99.1,102.0,-2.45,Seattle SuperSonics,2007
,61,21,.744,—,110.2,102.9,7.28,Phoenix Suns*,2007
,42,40,.512,19.0,103.3,103.4,0.24,Los Angeles Lakers*,2007
,42,40,.512,19.0,106.5,106.9,0.00,Golden State Warriors*,2007
,40,42,.488,21.0,95.6,96.1,-0.07,Los Angeles Clippers,2007
,33,49,.402,28.0,101.3,103.1,-1.35,Sacramento Kings,2007
,67,15,.817,—,100.0,92.8,7.28,Dallas Mavericks*,2007
,58,24,.707,9.0,98.5,90.1,8.35,San Antonio Spurs*,2007
,52,30,.634,15.0,97.0,92.1,5.04,Houston Rockets*,2007
